у слепых людей улучшается  слух, у немых - зрение, а у безмозглых улучшается способность иметь и высказывать своё мнение по любому вопросу.;negative
сегодня узнал новый смысл в слове "обидно".сидел на лавке, рядом сидела девушка, разговаривала по телефону.говорит: "если хочешь расстаться, давай расстанемся, тогда я сейчас пойду и замучу с первым встречным", посмотрела на меня и ушла;negative
я считаю, что во всем нужно искать позитив. Вот решили вы приготовить сырники в духовке, но они потекли. Ничего, не стоит расстраиваться и забрасывать все. Это не у вас руки кривые. Это эволюция творога от сырников к запеканке.;positive
Сейчас в квартире делаю ремонт. И неожиданно оказалось, что там все стены несущие. Несущие боль, страдание и финансовые потери.;negative
Я хочу услышать три самых главных слова… Нам дали отопление.;positive
Интервьюер: Каким вы видите себя через пять лет? Я: Я пожимаю руку Дамблдору, я выиграл Кубок факультета.;positive
Люди смеются над тем, что кошки любят коробки, но если бы в вашей гостиной вдруг появилась коробка больше вас, вы бы, наверное, тоже туда залезли.;positive
Существует большая вероятность, что вы являетесь частью чьего-то любимого воспоминания и даже не знаете об этом.;positive
умные люди тоже наступают на грабли, но только для того, чтобы поднять их с земли не нагибаясь.;positive
оказывается, если встать пораньше и продуктивно работать, в три часа дня захочется спать и сдохнуть от усталости.;negative
В детстве я считал,что пессимистичные и депрессивные люди просто много думают о плохом. На самом деле оказалось, что они просто много думают.;negative
